apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Van Ierssel,Cees,"Van Ierssel, Cees",Paises Bajos,6 de diciembre de 1945,Defensor,https://www.losmundialesdefutbol.com/jugadores/cees_van_ierssel.php
Van Ingelgem,Jos,"Van Ingelgem, Jos",Bélgica,23 de enero de 1919,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jos_van_ingelgem.php
Van Kerckhoven,Nico,"Van Kerckhoven, Nico",Bélgica,14 de diciembre de 1970,"Defensor, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/nico_van_kerckhoven.php
Van Kerckhoven,Robert,"Van Kerckhoven, Robert",Bélgica,1 de enero de 1924,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/robert_van_kerckhoven.php
Van Kraay,Adri,"Van Kraay, Adri",Paises Bajos,1 de agosto de 1953,Defensor,https://www.losmundialesdefutbol.com/jugadores/adri_van_kraay.php
Van Loen,John,"Van Loen, John",Paises Bajos,4 de febrero de 1965,Delantero,https://www.losmundialesdefutbol.com/jugadores/john_van_loen.php
Van Male,Adriaan,"Van Male, Adriaan",Paises Bajos,7 de octubre de 1910,Arquero,https://www.losmundialesdefutbol.com/jugadores/adriaan_van_male.php
Van Meir,Eric,"Van Meir, Eric",Bélgica,28 de febrero de 1968,Defensor,https://www.losmundialesdefutbol.com/jugadores/eric_van_meir.php
Van Moer,Wilfried,"Van Moer, Wilfried",Bélgica,1 de marzo de 1945,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/wilfried_van_moer.php
Van Nellen,Joop,"Van Nellen, Joop",Paises Bajos,15 de marzo de 1910,Delantero,https://www.losmundialesdefutbol.com/jugadores/joop_van_nellen.php
Van Nistelrooij,Ruud,"Van Nistelrooij, Ruud",Paises Bajos,1 de julio de 1976,Delantero,https://www.losmundialesdefutbol.com/jugadores/ruud_van_nistelrooij.php
Van Persie,Robin,"Van Persie, Robin",Paises Bajos,6 de agosto de 1983,Delantero,https://www.losmundialesdefutbol.com/jugadores/robin_van_persie.php
Van Run,Sjef,"Van Run, Sjef",Paises Bajos,12 de enero de 1904,Defensor,https://www.losmundialesdefutbol.com/jugadores/sjef_van_run.php
Van Spaandonck,Henk,"Van Spaandonck, Henk",Paises Bajos,25 de junio de 1913,Delantero,https://www.losmundialesdefutbol.com/jugadores/henk_van_spaandonck.php
Van Steen,Jean,"Van Steen, Jean",Bélgica,2 de junio de 1929,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jean_van_steen.php
Van Tiggelen,Adri,"Van Tiggelen, Adri",Paises Bajos,16 de junio de 1957,Defensor,https://www.losmundialesdefutbol.com/jugadores/adri_van_tiggelen.php
Van Tuyne,Jose,"Van Tuyne, Jose",Argentina,13 de diciembre de 1954,Defensor,https://www.losmundialesdefutbol.com/jugadores/jose_van_tuyne.php
Van Vossen,Peter,"Van Vossen, Peter",Paises Bajos,21 de abril de 1968,Delantero,https://www.losmundialesdefutbol.com/jugadores/peter_van_vossen.php
Vanaken,Hans,Hans Vanaken,Bélgica,24 de agosto de 1992,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/hans_vanaken.php
Vande Walle,Philippe,"Vande Walle, Philippe",Bélgica,22 de diciembre de 1961,Arquero,https://www.losmundialesdefutbol.com/jugadores/philippe_vande_walle.php
Vanden Borre,Anthony,"Vanden Borre, Anthony",Bélgica,24 de octubre de 1987,Defensor,https://www.losmundialesdefutbol.com/jugadores/anthony_vanden_borre.php
Vandenbergh,Erwin,"Vandenbergh, Erwin",Bélgica,26 de enero de 1959,Delantero,https://www.losmundialesdefutbol.com/jugadores/erwin_vandenbergh.php
Vandendriessche,Franky,"Vandendriessche, Franky",Bélgica,7 de abril de 1971,Arquero,https://www.losmundialesdefutbol.com/jugadores/franky_vandendriessche.php
Vandereycken,Rene,"Vandereycken, Rene",Bélgica,22 de julio de 1953,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/rene_vandereycken.php
Vanderhaeghe,Yves,"Vanderhaeghe, Yves",Bélgica,30 de enero de 1970,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/yves_vanderhaeghe.php
Vandersmissen,Guy,"Vandersmissen, Guy",Bélgica,25 de diciembre de 1957,Delantero,https://www.losmundialesdefutbol.com/jugadores/guy_vandersmissen.php
Vandeweyer,Andre,"Vandeweyer, Andre",Bélgica,21 de junio de 1909,Arquero,https://www.losmundialesdefutbol.com/jugadores/andre_vandeweyer.php
Vandewouwer,Charles,"Vandewouwer, Charles",Bélgica,7 de septiembre de 1916,Delantero,https://www.losmundialesdefutbol.com/jugadores/charles_vandewouwer.php
Vandooren,Jules,"Vandooren, Jules",Francia,30 de diciembre de 1908,Defensor,https://www.losmundialesdefutbol.com/jugadores/jules_vandooren.php
Vanenburg,Gerald,"Vanenburg, Gerald",Paises Bajos,5 de marzo de 1964,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/gerald_vanenburg.php
Vanole,David,"Vanole, David",Estados Unidos,6 de febrero de 1963,Arquero,https://www.losmundialesdefutbol.com/jugadores/david_vanole.php
Vantolra,Jose,"Vantolra, Jose",México,30 de marzo de 1943,Defensor,https://www.losmundialesdefutbol.com/jugadores/jose_vantolra.php
Varacka,Jose,"Varacka, Jose",Argentina,27 de mayo de 1932,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jose_varacka.php
