anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1970,Rumania,Checoslovaquia,1970_rumania_checoslovaquia,Ladislav Petras,Checoslovaquia,5,5,normal,false
1970,Rumania,Checoslovaquia,1970_rumania_checoslovaquia,Alexandru Neagu,Rumania,52,52,normal,false
1970,Rumania,Checoslovaquia,1970_rumania_checoslovaquia,Florea Dumitrache,Rumania,75,75,penal,false
1970,URSS,Bélgica,1970_urss_belgica,Anatoly Bishovets,URSS,14,14,normal,false
1970,URSS,Bélgica,1970_urss_belgica,Kakhi Asatiani,URSS,57,57,normal,false
1970,URSS,Bélgica,1970_urss_belgica,Anatoly Bishovets,URSS,63,63,normal,false
1970,URSS,Bélgica,1970_urss_belgica,Vitali Khmelnitski,URSS,76,76,normal,false
1970,URSS,Bélgica,1970_urss_belgica,Raoul Lambert,Bélgica,86,86,normal,false
1970,Suecia,Israel,1970_suecia_israel,Tom Turesson,Suecia,53,53,normal,false
1970,Suecia,Israel,1970_suecia_israel,Mordechai Spiegler,Israel,56,56,normal,false
1970,México,El Salvador,1970_mexico_el_salvador,Javier Valdivia,México,45,45,normal,false
1970,México,El Salvador,1970_mexico_el_salvador,Javier Valdivia,México,46,46,normal,false
1970,México,El Salvador,1970_mexico_el_salvador,Javier Fragoso,México,58,58,normal,false
1970,México,El Salvador,1970_mexico_el_salvador,Juan Ignacio Basaguren,México,83,83,normal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Asparukh Nikodimov,Bulgaria,12,12,normal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Stan Libuda,Alemania Occidental,20,20,normal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Gerd Mueller,Alemania Occidental,27,27,normal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Gerd Mueller,Alemania Occidental,52,52,penal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Uwe Seeler,Alemania Occidental,70,70,normal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Gerd Mueller,Alemania Occidental,88,88,normal,false
1970,Alemania Occidental,Bulgaria,1970_alemania_occidental_bulgaria,Todor Kolev,Bulgaria,89,89,normal,false
1970,Brasil,Inglaterra,1970_brasil_inglaterra,Jairzinho,Brasil,59,59,normal,false
1970,URSS,El Salvador,1970_urss_el_salvador,Anatoly Bishovets,URSS,51,51,normal,false
