apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Sarabia,Pablo,"Sarabia, Pablo",España,11 de mayo de 1992,Delantero,https://www.losmundialesdefutbol.com/jugadores/pablo_sarabia.php
Sarabia,Pedro,"Sarabia, Pedro",Paraguay,5 de julio de 1975,Defensor,https://www.losmundialesdefutbol.com/jugadores/pedro_sarabia.php
Saralegui,Mario,"Saralegui, Mario",Uruguay,24 de abril de 1959,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/mario_saralegui.php
Saravakos,Dimitrios,"Saravakos, Dimitrios",Grecia,26 de julio de 1961,Delantero,https://www.losmundialesdefutbol.com/jugadores/dimitrios_saravakos.php
Sargent,Josh,"Sargent, Josh",Estados Unidos,20 de febrero de 2000,Delantero,https://www.losmundialesdefutbol.com/jugadores/josh_sargent.php
Saric,Daniel,"Saric, Daniel",Croacia,4 de agosto de 1972,Defensor,https://www.losmundialesdefutbol.com/jugadores/daniel_saric.php
Saritama,Luis,"Saritama, Luis",Ecuador,20 de octubre de 1983,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/luis_saritama.php
Sarmiento,Jeremy,"Sarmiento, Jeremy",Ecuador,16 de junio de 2002,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jeremy_sarmiento.php
Sarmiento,Jorge,"Sarmiento, Jorge",Perú,2 de noviembre de 1900,Delantero,https://www.losmundialesdefutbol.com/jugadores/jorge_sarmiento.php
Sarnari,Juan,"Sarnari, Juan",Argentina,22 de enero de 1942,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/juan_sarnari.php
Sarosi,Bela,"Sarosi, Bela",,,,https://www.losmundialesdefutbol.com/jugadores/bela_sarosi.php
Sarosi,Gyorgy,"Sarosi, Gyorgy",Hungría,16 de septiembre de 1912,Delantero,https://www.losmundialesdefutbol.com/jugadores/gyorgy_sarosi.php
Sarosi,Laszlo,"Sarosi, Laszlo",Hungría,27 de febrero de 1932,Defensor,https://www.losmundialesdefutbol.com/jugadores/laszlo_sarosi.php
Sarpei,Hans,"Sarpei, Hans",Ghana,28 de junio de 1976,Defensor,https://www.losmundialesdefutbol.com/jugadores/hans_sarpei.php
Sarr,Ismaïla,Ismaïla Sarr,Senegal,25 de febrero de 1998,Delantero,https://www.losmundialesdefutbol.com/jugadores/ismaila_sarr.php
Sarr,Pape,"Sarr, Pape",Senegal,7 de diciembre de 1977,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/pape_sarr.php
Sarr,Pape Matar,"Sarr, Pape Matar",Senegal,14 de septiembre de 2002,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/pape_matar_sarr.php
Sartor,Ottorino,"Sartor, Ottorino",Perú,18 de septiembre de 1945,Arquero,https://www.losmundialesdefutbol.com/jugadores/ottorino_sartor.php
Sas,Ferenc,"Sas, Ferenc",Hungría,1 de enero de 1915,Delantero,https://www.losmundialesdefutbol.com/jugadores/ferenc_sas.php
Sas,Hasan,"Sas, Hasan",Turquía,1 de agosto de 1976,Delantero,https://www.losmundialesdefutbol.com/jugadores/hasan_sas.php
Sasia,Jose,"Sasia, Jose",Uruguay,27 de diciembre de 1933,Delantero,https://www.losmundialesdefutbol.com/jugadores/jose_sasia.php
Sassi,Ferjani,Ferjani Sassi,Túnez,18 de marzo de 1992,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ferjani_sassi.php
